flow,origin,destination
5029,Budapest,Kecskemét
3197,Budapest,Szolnok
2557,Budapest,Dunaújváros
6027,Budapest,Székesfehérvár
3067,Budapest,Győr
2512,Budapest,Szeged
2139,Budapest,Pécs
663,Budapest,Szekszárd
2631,Budapest,Debrecen
1743,Budapest,Nyíregyháza
3723,Budapest,Miskolc
863,Budapest,Siófok
1364,Budapest,Veszprém
632,Budapest,Sopron
863,Budapest,Szombathely
670,Kecskemét,Szolnok
280,Kecskemét,Dunaújváros
74,Kecskemét,Székesfehérvár
59,Kecskemét,Győr
680,Kecskemét,Szeged
60,Kecskemét,Pécs
50,Kecskemét,Szekszárd
114,Kecskemét,Debrecen
17,Kecskemét,Nyíregyháza
49,Kecskemét,Miskolc
19,Kecskemét,Siófok
57,Kecskemét,Veszprém
17,Kecskemét,Sopron
21,Kecskemét,Szombathely
38,Szolnok,Dunaújváros
14,Szolnok,Székesfehérvár
48,Szolnok,Győr
456,Szolnok,Szeged
28,Szolnok,Pécs
10,Szolnok,Szekszárd
225,Szolnok,Debrecen
28,Szolnok,Nyíregyháza
83,Szolnok,Miskolc
8,Szolnok,Siófok
16,Szolnok,Veszprém
11,Szolnok,Sopron
10,Szolnok,Szombathely
567,Dunaújváros,Székesfehérvár
62,Dunaújváros,Győr
125,Dunaújváros,Szeged
102,Dunaújváros,Pécs
61,Dunaújváros,Szekszárd
20,Dunaújváros,Debrecen
10,Dunaújváros,Nyíregyháza
16,Dunaújváros,Miskolc
19,Dunaújváros,Siófok
81,Dunaújváros,Veszprém
1,Dunaújváros,Sopron
9,Dunaújváros,Szombathely
512,Székesfehérvár,Győr
100,Székesfehérvár,Szeged
145,Székesfehérvár,Pécs
25,Székesfehérvár,Szekszárd
16,Székesfehérvár,Debrecen
11,Székesfehérvár,Nyíregyháza
45,Székesfehérvár,Miskolc
500,Székesfehérvár,Siófok
903,Székesfehérvár,Veszprém
48,Székesfehérvár,Sopron
28,Székesfehérvár,Szombathely
46,Győr,Szeged
104,Győr,Pécs
24,Győr,Szekszárd
30,Győr,Debrecen
13,Győr,Nyíregyháza
55,Győr,Miskolc
64,Győr,Siófok
266,Győr,Veszprém
445,Győr,Sopron
376,Győr,Szombathely
179,Szeged,Pécs
118,Szeged,Szekszárd
59,Szeged,Debrecen
46,Szeged,Nyíregyháza
29,Szeged,Miskolc
32,Szeged,Siófok
59,Szeged,Veszprém
13,Szeged,Sopron
28,Szeged,Szombathely
509,Pécs,Szekszárd
20,Pécs,Debrecen
14,Pécs,Nyíregyháza
23,Pécs,Miskolc
52,Pécs,Siófok
66,Pécs,Veszprém
35,Pécs,Sopron
81,Pécs,Szombathely
10,Szekszárd,Debrecen
0,Szekszárd,Nyíregyháza
2,Szekszárd,Miskolc
7,Szekszárd,Siófok
36,Szekszárd,Veszprém
5,Szekszárd,Sopron
6,Szekszárd,Szombathely
2018,Debrecen,Nyíregyháza
718,Debrecen,Miskolc
7,Debrecen,Siófok
6,Debrecen,Veszprém
15,Debrecen,Sopron
1,Debrecen,Szombathely
445,Nyíregyháza,Miskolc
6,Nyíregyháza,Siófok
15,Nyíregyháza,Veszprém
7,Nyíregyháza,Sopron
2,Nyíregyháza,Szombathely
13,Miskolc,Siófok
2,Miskolc,Veszprém
7,Miskolc,Sopron
12,Miskolc,Szombathely
566,Siófok,Veszprém
29,Siófok,Sopron
31,Siófok,Szombathely
53,Veszprém,Sopron
97,Veszprém,Szombathely
481,Sopron,Szombathely
